id,text,intent,author
1,Tell me the price of the laptop,price_query,user
2,What is the cost of this item?,price_query,user
3,What is the price of this product?,price_query,user
4,How much do I need to pay?,price_query,user
5,How much does this cost?,price_query,user
6,What is the cost of this item?,price_query,user
7,What is the cost of this item?,price_query,user
8,What is the cost of this item?,price_query,user
9,How much do I need to pay?,price_query,user
10,How much do I need to pay?,price_query,user
11,What is the price of this product?,price_query,user
12,How much does this cost?,price_query,user
13,How much do I need to pay?,price_query,user
14,Tell me the price of the laptop,price_query,user
15,Tell me the price of the laptop,price_query,user
16,What is the cost of this item?,price_query,user
17,What is the price of this product?,price_query,user
18,What is the price of this product?,price_query,user
19,What is the cost of this item?,price_query,user
20,How much do I need to pay?,price_query,user
21,Tell me the price of the laptop,price_query,user
22,What is the cost of this item?,price_query,user
23,How much does this cost?,price_query,user
24,Tell me the price of the laptop,price_query,user
25,What is the cost of this item?,price_query,user
26,Tell me the price of the laptop,price_query,user
27,How much does this cost?,price_query,user
28,Tell me the price of the laptop,price_query,user
29,What is the cost of this item?,price_query,user
30,What is the cost of this item?,price_query,user
31,What is the cost of this item?,price_query,user
32,What is the price of this product?,price_query,user
33,What is the cost of this item?,price_query,user
34,How much do I need to pay?,price_query,user
35,What is the price of this product?,price_query,user
36,What is the cost of this item?,price_query,user
37,How much does this cost?,price_query,user
38,Tell me the price of the laptop,price_query,user
39,What is the price of this product?,price_query,user
40,How much does this cost?,price_query,user
41,What is the price of this product?,price_query,user
42,How much does this cost?,price_query,user
43,What is the cost of this item?,price_query,user
44,How much do I need to pay?,price_query,user
45,How much do I need to pay?,price_query,user
46,What is the price of this product?,price_query,user
47,Tell me the price of the laptop,price_query,user
48,What is the cost of this item?,price_query,user
49,What is the cost of this item?,price_query,user
50,What is the price of this product?,price_query,user
51,How much do I need to pay?,price_query,user
52,What is the price of this product?,price_query,user
53,How much do I need to pay?,price_query,user
54,Tell me the price of the laptop,price_query,user
55,How much does this cost?,price_query,user
56,What is the cost of this item?,price_query,user
57,What is the price of this product?,price_query,user
58,How much do I need to pay?,price_query,user
59,What is the cost of this item?,price_query,user
60,How much does this cost?,price_query,user
61,How much does this cost?,price_query,user
62,What is the cost of this item?,price_query,user
63,What is the cost of this item?,price_query,user
64,How much do I need to pay?,price_query,user
65,Tell me the price of the laptop,price_query,user
66,Tell me the price of the laptop,price_query,user
67,What is the price of this product?,price_query,user
68,Tell me the price of the laptop,price_query,user
69,What is the price of this product?,price_query,user
70,Tell me the price of the laptop,price_query,user
71,What is the cost of this item?,price_query,user
72,What is the price of this product?,price_query,user
73,How much do I need to pay?,price_query,user
74,What is the price of this product?,price_query,user
75,What is the price of this product?,price_query,user
76,How much do I need to pay?,price_query,user
77,What is the cost of this item?,price_query,user
78,What is the price of this product?,price_query,user
79,What is the cost of this item?,price_query,user
80,How much does this cost?,price_query,user
81,How much do I need to pay?,price_query,user
82,What is the price of this product?,price_query,user
83,What is the cost of this item?,price_query,user
84,What is the cost of this item?,price_query,user
85,What is the price of this product?,price_query,user
86,What is the cost of this item?,price_query,user
87,What is the cost of this item?,price_query,user
88,How much do I need to pay?,price_query,user
89,What is the cost of this item?,price_query,user
90,How much does this cost?,price_query,user
